gameKey,seasonName,date,winner,H_AST,H_BLK,H_DREB,H_OREB,H_PRB,H_TRB,H_2PA,H_2PM,H_3PA,H_3PM,H_DKA,H_DKM,H_FTA,H_FTM,H_SWA,H_SWM,H_FGA,H_FGM,H_TPF,H_PF,H_SUB,H_PP,H_PA,H_STL,H_TTO,H_PTO,H_MIN,H_UF,H_TF,H_TOM,H_EJ,H_NR,H_TS%,H_eFG%,H_EFF,H_TEAM,A_AST,A_BLK,A_DREB,A_OREB,A_PRB,A_TRB,A_2PA,A_2PM,A_3PA,A_3PM,A_DKA,A_DKM,A_FTA,A_FTM,A_SWA,A_SWM,A_FGA,A_FGM,A_TPF,A_PF,A_SUB,A_PP,A_PA,A_STL,A_TTO,A_PTO,A_MIN,A_UF,A_TF,A_TOM,A_EJ,A_NR,A_TS%,A_eFG%,A_EFF,A_TEAM
S43G01N1,2023-2024,20231021,away,18,4,26,8,34,3,44,24,16,4,2,2,12,10,0,0,62,30,16,32,20,74,74,2,0,11,2400,1,0,4,0,-16.15885180426143,36.17363344051447,36.36363636363637,90,안양 정관장,19,0,24,13,37,4,55,29,23,8,0,0,12,7,9,6,78,37,15,30,24,89,90,9,0,3,2400,0,0,11,0,16.15885180426143,52.68199233716475,58.333333333333336,109,서울 SK
S43G01N2,2023-2024,20231021,away,11,1,21,17,38,4,45,19,30,7,1,1,10,5,3,0,76,27,16,32,24,66,86,8,0,11,2400,0,0,16,0,-7.757713884992995,23.529411764705884,23.529411764705884,63,창원 LG,15,5,29,14,43,6,38,19,26,6,2,2,15,11,4,2,66,27,15,32,28,71,81,4,3,15,2400,0,0,7,0,7.757713884992995,35.425101214574894,39.285714285714285,83,수원 KT
S43G01N3,2023-2024,20231021,home,21,2,29,8,37,2,40,25,22,7,2,2,16,12,3,0,64,34,18,39,19,87,80,12,0,12,2400,0,0,8,0,34.78633385056766,44.44444444444444,44.44444444444444,115,울산 현대모비스,13,0,19,9,28,4,45,24,19,2,2,1,10,6,1,0,66,27,17,37,26,62,76,5,1,15,2400,1,0,4,0,-34.78633385056766,26.340996168582375,27.77777777777778,53,대구 한국가스공사
S43G01N4,2023-2024,20231022,home,18,1,27,6,33,3,45,28,22,6,0,0,16,11,8,4,67,34,17,35,27,85,83,9,0,10,2400,0,0,9,0,6.459486938182181,48.16955684007707,63.333333333333336,101,서울 SK,23,2,25,9,34,2,40,23,29,10,1,1,7,2,1,2,70,34,17,35,26,80,77,8,0,14,2400,0,0,7,0,-6.459486938182181,39.0015600624025,52.94117647058823,94,수원 KT
S43G01N5,2023-2024,20231022,away,13,1,19,10,29,3,34,18,36,13,0,0,19,14,1,0,70,31,15,32,28,89,89,4,0,6,2400,0,0,11,0,-23.466602672144646,44.270833333333336,54.166666666666664,89,고양 소노,29,4,27,7,34,6,35,22,31,18,2,2,11,8,7,4,68,42,19,43,25,110,79,4,2,11,2400,0,0,4,0,23.466602672144646,45.955882352941174,53.125,145,원주 DB
S43G01N6,2023-2024,20231022,home,28,1,23,8,31,2,48,28,22,10,3,3,18,14,9,4,73,41,14,28,18,106,91,9,0,5,2400,0,0,16,0,10.2824338226484,41.585127201565555,42.10526315789474,136,부산 KCC,27,5,23,8,31,3,43,23,28,16,1,1,8,4,6,4,72,40,17,36,27,100,80,2,0,12,2400,0,0,11,0,-10.2824338226484,59.523809523809526,75.0,120,서울 삼성
S43G01N7,2023-2024,20231023,home,15,4,23,10,33,1,50,25,16,3,1,1,23,15,6,2,67,29,20,45,22,76,90,9,0,8,2400,0,0,8,0,3.6490552034685066,43.10344827586207,53.125,84,울산 현대모비스,8,2,30,13,43,2,46,20,15,5,0,0,27,19,1,0,61,25,18,40,18,74,88,4,0,16,2400,0,0,4,0,-3.6490552034685066,39.75265017667844,46.42857142857143,73,창원 LG
S43G01N8,2023-2024,20231024,away,15,4,21,11,32,3,32,18,37,9,1,1,17,14,1,0,70,28,18,40,29,79,87,4,0,6,2400,1,0,10,0,-14.630788637411172,37.262872628726285,44.44444444444444,86,고양 소노,20,1,26,16,42,6,50,23,22,9,0,0,20,17,5,2,72,32,16,33,17,90,92,3,0,8,2400,0,0,4,0,14.630788637411172,47.50982961992136,60.526315789473685,111,서울 SK
S43G01N9,2023-2024,20231026,away,21,1,19,13,32,5,42,24,27,6,1,1,11,8,1,0,70,31,19,40,25,76,81,4,1,13,2400,0,0,11,0,-13.751166170231713,27.77777777777778,25.0,83,창원 LG,16,3,23,7,30,4,45,23,16,8,3,3,13,9,3,4,64,34,18,37,20,85,77,6,0,11,2400,0,0,8,0,13.751166170231713,58.19838056680162,71.42857142857143,99,원주 DB
S43G01N10,2023-2024,20231027,home,16,4,23,11,34,11,49,25,21,6,1,1,14,8,2,0,71,32,18,40,16,78,85,6,1,11,2400,0,0,10,0,12.417392335260132,34.93788819875776,42.5,92,울산 현대모비스,15,3,23,7,30,2,38,18,20,5,0,0,24,16,2,0,58,23,17,35,18,67,82,5,3,14,2400,0,0,6,0,-12.417392335260132,42.51700680272109,54.166666666666664,62,서울 SK
